track_name,artist_name,genre,track_popularity,predicted_popularity,artist_popularity,artist_followers,residual
Music,Erick Sermon,Hip-Hop/Rap,56.0,42.154980453977636,52.0,265997.0,13.845019546022364
Music,Madonna,Pop,84.0,60.02140629373822,96.0,117116492.0,23.978593706261783
Don't Stop Believin' (2024 Remaster),Journey,Rock,63.0,51.23016788069621,76.0,6687304.0,11.769832119303793
I'm Yours,Jason Mraz,Pop,77.0,40.79670441459782,74.0,7337242.0,36.20329558540218
Music,Madonna,Pop,84.0,60.94431522919699,96.0,117116492.0,23.055684770803012
Hips Don't Lie (feat. Wyclef Jean),Shakira,Pop,88.0,58.30797986004417,89.0,40948506.0,29.69202013995583
Just Give Me a Reason (feat. Nate Ruess),P!nk,Pop,85.0,55.49733891255217,80.0,18395396.0,29.502661087447827
Some Nights,Fun.,Alternative,47.0,57.54249264840245,69.0,3067961.0,-10.542492648402451
Music,Madonna,Pop,84.0,60.01942744832906,96.0,117116492.0,23.98057255167094
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis",Hip-Hop/Rap,85.0,52.98876534503365,77.0,2914209.0,32.01123465496635
When I Was Your Man,Bruno Mars,Pop,89.0,62.64972254752659,94.0,78066276.0,26.350277452473406
Music,Kelsea Ballerini,Country,22.0,49.47508753384752,71.0,1366560.0,-27.47508753384752
What Makes You Beautiful,One Direction,Pop,36.0,47.189702920391795,85.0,40607447.0,-11.189702920391795
A Thousand Years,Christina Perri,Soundtrack,58.0,47.1890961196267,74.0,4372284.0,10.810903880373303
Stronger (What Doesn't Kill You),Kelly Clarkson,Pop,75.0,50.87887445293364,82.0,11037647.0,24.121125547066363
Locked Out of Heaven,Bruno Mars,Pop,91.0,61.088390570597404,94.0,78066276.0,29.911609429402596
Rockstar,Nickelback,Rock,67.0,55.38119225175615,80.0,8033061.0,11.618807748243853
See You Again (feat. Charlie Puth),Wiz Khalifa,Hip-Hop/Rap,17.0,52.18019002446068,84.0,12254440.0,-35.18019002446068
Music,Brandy,R&B/Soul,31.0,31.326651140510968,43.0,60639.0,-0.3266511405109682
Story of My Life,One Direction,Pop,85.0,57.63436794023594,85.0,40607447.0,27.36563205976406
Stressed Out,twenty one pilots,Alternative,1.0,58.57405601546464,85.0,26020787.0,-57.57405601546464
I Won't Give Up,Jason Mraz,Pop,59.0,45.8278093130914,74.0,7337242.0,13.1721906869086
Try,P!nk,Pop,83.0,54.63982090280169,80.0,18395396.0,28.360179097198312
Blown Away,Carrie Underwood,Country,64.0,49.78541607949655,72.0,6160672.0,14.21458392050345
It Will Rain,Bruno Mars,Soundtrack,86.0,59.02812485432465,94.0,78066276.0,26.971875145675348
Shape of You,Ed Sheeran,Pop,90.0,56.055146066255126,90.0,124370422.0,33.944853933744874
Drunk in Love (feat. Jay Z),Beyoncé,Pop,75.0,57.87225157411266,86.0,41847546.0,17.12774842588734
Circus,Britney Spears,Pop,79.0,53.83543459078796,84.0,18332608.0,25.164565409212038
Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton,Country,27.0,45.189228487415185,76.0,7554646.0,-18.189228487415185
Same Love (feat. Mary Lambert),"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis",Hip-Hop/Rap,60.0,53.52863034976483,63.0,19796.0,6.471369650235168
Lips Are Movin,Meghan Trainor,Pop,65.0,56.77255193716426,79.0,15755443.0,8.227448062835741
Second Chance,Shinedown,Hard Rock,50.0,49.34099088973525,73.0,4618633.0,0.6590091102647477
Breakeven (Falling to Pieces),The Script,Pop,18.0,40.35168395372537,52.0,59528.0,-22.35168395372537
Chandelier,Sia,Pop,83.0,57.25798083942917,88.0,30874295.0,25.742019160570827
Ridin' Solo,Jason Derulo,Pop,67.0,51.911580368583145,78.0,12516470.0,15.088419631416855
"Club Can't Handle Me (feat. David Guetta) [From ""Step Up 3D""]",Flo Rida,Hip-Hop/Rap,59.0,53.92990846716986,82.0,9113949.0,5.070091532830141
The A Team,Ed Sheeran,Pop,35.0,50.879342457545604,90.0,124370422.0,-15.879342457545604
Right Round (feat. Ke$ha),Flo Rida,Hip-Hop/Rap,59.0,52.83802812909353,82.0,9113949.0,6.16197187090647
My House,Flo Rida,Hip-Hop/Rap,17.0,55.28333700425387,82.0,9113949.0,-38.28333700425387
Waiting On the World to Change,John Mayer,Pop,71.0,53.21959745097126,78.0,6275040.0,17.780402549028743
Perfect,Ed Sheeran,Pop,89.0,55.0087626660471,90.0,124370422.0,33.9912373339529
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,Hip-Hop/Rap,25.0,40.64478285522333,73.0,2888164.0,-15.644782855223333
Shake It,Metro Station,Alternative,67.0,34.50127179123889,55.0,373405.0,32.49872820876111
Faithfully (2024 Remaster),Journey,Rock,51.0,51.562603250679594,76.0,6687304.0,-0.5626032506795937
Treasure,Bruno Mars,Pop,83.0,62.21369632940299,94.0,78066276.0,20.786303670597007
Hall of Fame (feat. will.i.am),The Script,Pop,81.0,49.34000844640939,78.0,8932663.0,31.659991553590608
If Today Was Your Last Day,Nickelback,Rock,71.0,53.72324340548577,80.0,8033061.0,17.276756594514232
Carry On,Fun.,Alternative,58.0,57.558978904217476,69.0,3067961.0,0.44102109578252424
Man In the Mirror,Michael Jackson,Pop,72.0,62.217061789362766,87.0,38912920.0,9.782938210637234
21 Guns,Green Day,Alternative,35.0,54.600264584432246,82.0,17741073.0,-19.600264584432246
Fuck You,CeeLo Green,R&B/Soul,9.0,38.891552766509484,72.0,759547.0,-29.891552766509484
Tear In My Heart,twenty one pilots,Alternative,76.0,57.68620168191805,85.0,26020787.0,18.31379831808195
Say,John Mayer,Pop,62.0,54.95701811857945,78.0,6275040.0,7.042981881420552
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,Hip-Hop/Rap,70.0,46.64205234140928,75.0,12557480.0,23.357947658590717
Magic (feat. Rivers Cuomo),B.o.B,Hip-Hop/Rap,66.0,43.67870308523627,77.0,2373440.0,22.321296914763728
24K Magic,Bruno Mars,Pop,86.0,64.26563981354482,94.0,78066276.0,21.734360186455177
Partition,Beyoncé,Pop,72.0,57.822533083207624,86.0,41847546.0,14.177466916792376
My Life Would Suck Without You,Kelly Clarkson,Pop,67.0,52.0418568905342,82.0,11037647.0,14.958143109465802
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Pop,74.0,56.54008258704001,79.0,15755443.0,17.45991741295999
Ride,twenty one pilots,Alternative,1.0,56.18216038193465,85.0,26020787.0,-55.18216038193465
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Hip-Hop/Rap,78.0,53.59319023683823,72.0,2740327.0,24.406809763161768
A Sky Full of Stars,Coldplay,Alternative,56.0,54.947683732310544,91.0,62142753.0,1.0523162676894557
Uptown Funk (feat. Bruno Mars),Mark Ronson,Pop,86.0,62.42428244897166,77.0,1351646.0,23.57571755102834
Wobble,V.I.C.,Hip-Hop/Rap,67.0,38.372456453840435,54.0,145105.0,28.627543546159565
Any Way You Want It (2024 Remaster),Journey,Rock,55.0,49.48868175581384,76.0,6687304.0,5.511318244186157
Gotta Be Somebody,Nickelback,Rock,39.0,56.00015554928267,80.0,8033061.0,-17.000155549282667
Temperature,Sean Paul,Pop,28.0,37.10224327469229,85.0,5417621.0,-9.102243274692292
7 Years,Lukas Graham,Pop,84.0,54.534600341854386,72.0,3098251.0,29.465399658145614
Sing,Ed Sheeran,Pop,69.0,54.09181997609912,90.0,124370422.0,14.908180023900883
Marry Me,Train,Pop,31.0,45.24333658450441,79.0,15755443.0,-14.243336584504412
Sober,P!nk,Pop,67.0,53.789983990851745,80.0,18395396.0,13.210016009148255
Not Over You,Gavin DeGraw,Pop,64.0,43.25661809431174,61.0,1263986.0,20.74338190568826
Sweater Weather,The Neighbourhood,Alternative,93.0,56.33006726456456,86.0,22326971.0,36.66993273543544
Don't Tell Me,Madonna,Pop,56.0,54.90621021499786,82.0,8982876.0,1.0937897850021372
The Show Goes On,Lupe Fiasco,Hip-Hop/Rap,44.0,41.50570878005469,70.0,2009721.0,2.4942912199453104
Gunpowder & Lead,Miranda Lambert,Country,67.0,45.18765304557526,69.0,3735664.0,21.81234695442474
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis",Hip-Hop/Rap,78.0,53.683059231027656,72.0,2740327.0,24.316940768972344
International Love (feat. Chris Brown),Pitbull,Pop,83.0,58.385897005008744,87.0,12268125.0,24.614102994991256
Smile,Uncle Kracker,Pop,64.0,35.1486689834294,62.0,814595.0,28.851331016570597
Billie Jean,Michael Jackson,Pop,87.0,62.21447695810469,87.0,38912920.0,24.78552304189531
Heathens,twenty one pilots,Alternative,60.0,54.657596671302635,85.0,26020787.0,5.342403328697365
Forget You,CeeLo Green,R&B/Soul,20.0,38.88907920974804,72.0,759547.0,-18.88907920974804
Before He Cheats,Carrie Underwood,Pop,78.0,45.33050205203273,72.0,6160672.0,32.66949794796727
Music,Madonna,Pop,84.0,60.01856170346255,96.0,117116492.0,23.981438296537448
That's What I Like,Bruno Mars,Pop,91.0,63.23015416799466,94.0,78066276.0,27.769845832005338
Open Arms (2024 Remaster),Journey,Rock,51.0,50.76973256587082,76.0,6687304.0,0.23026743412918194
Decode,Paramore,Soundtrack,79.0,59.47249257515974,82.0,10042891.0,19.52750742484026
Thriller,Michael Jackson,Pop,76.0,61.27437421034889,87.0,38912920.0,14.725625789651112
Womanizer,Britney Spears,Pop,80.0,53.22811055867867,84.0,18332608.0,26.771889441321328
All-American Girl,Carrie Underwood,Country,60.0,48.1807539485127,72.0,6160672.0,11.819246051487298
Bangarang (feat. Sirah),Skrillex,Dance,70.0,50.465225908933384,77.0,7542201.0,19.534774091066616
Yeah! (feat. Lil Jon & Ludacris),USHER,R&B/Soul,38.0,53.24410810433797,83.0,14173075.0,-15.244108104337968
F**kin' Perfect,P!nk,Pop,63.0,54.32702666381588,80.0,18395396.0,8.672973336184121
Far Away,Nickelback,Rock,71.0,55.16769956767589,80.0,8033061.0,15.83230043232411
Smooth Criminal,Michael Jackson,Pop,80.0,61.44691989168708,87.0,38912920.0,18.55308010831292
Trumpets,Jason Derulo,Pop,54.0,47.010958332657786,78.0,12516470.0,6.989041667342214
Dear Future Husband,Meghan Trainor,Pop,71.0,56.60562334153365,79.0,15755443.0,14.39437665846635
Photograph,Nickelback,Rock,70.0,54.328080629192264,80.0,8033061.0,15.671919370807736
Hard to Love,Lee Brice,Country,67.0,48.693780517113645,67.0,2516156.0,18.306219482886355
Separate Ways (Worlds Apart) [2024 Remaster],Journey,Rock,59.0,51.969289226605426,76.0,6687304.0,7.030710773394574
Worth It (feat. Kid Ink),Fifth Harmony,Pop,37.0,50.425266077941,71.0,16208108.0,-13.425266077940996
Cowboy Casanova,Carrie Underwood,Country,63.0,49.10891506031738,72.0,6160672.0,13.89108493968262
One Thing,One Direction,Pop,76.0,50.88253613059069,85.0,40607447.0,25.117463869409313
Piano Man,Billy Joel,Rock,63.0,50.122093098769675,81.0,7667867.0,12.877906901230325
Gravity,John Mayer,Pop,72.0,54.244772442237384,78.0,6275040.0,17.755227557762616
Beat It,Michael Jackson,Pop,77.0,61.77522274840741,87.0,38912920.0,15.224777251592592
Live Like You Were Dying,Tim McGraw,Country,67.0,49.14850240841298,71.0,5117638.0,17.85149759158702
XO,Beyoncé,Pop,69.0,56.54223247126784,86.0,41847546.0,12.457767528732163
Wiggle (feat. Snoop Dogg),Jason Derulo,Pop,65.0,46.71261028387618,78.0,12516470.0,18.28738971612382
Somewhere With You,Kenny Chesney,Country,72.0,48.38547110592894,71.0,4954062.0,23.614528894071057
Whataya Want from Me,Adam Lambert,Pop,51.0,38.23931185252031,60.0,1643891.0,12.76068814747969
The Sound of Silence,Disturbed,Hard Rock,8.0,55.523782671112464,76.0,7782602.0,-47.523782671112464
Ain't It Fun,Paramore,Alternative,78.0,56.28183044211637,82.0,10042891.0,21.718169557883627
Ain't It Fun,Paramore,Alternative,78.0,56.28183044211637,82.0,10042891.0,21.718169557883627
The Way You Make Me Feel,Michael Jackson,Pop,79.0,61.55224393858938,87.0,38912920.0,17.447756061410622
The Way You Make Me Feel,Michael Jackson,Pop,79.0,61.55224393858938,87.0,38912920.0,17.447756061410622
Better In Time,Leona Lewis,Hard Rock,55.0,57.380557199705216,71.0,3820489.0,-2.3805571997052155
Better In Time,Leona Lewis,Hard Rock,55.0,57.380557199705216,71.0,3820489.0,-2.3805571997052155
Don't Stop 'Til You Get Enough,Michael Jackson,Pop,81.0,61.18113279615428,87.0,38912920.0,19.81886720384572
Don't Stop 'Til You Get Enough,Michael Jackson,Pop,81.0,61.18113279615428,87.0,38912920.0,19.81886720384572
Blame It,Jamie Foxx,R&B/Soul,67.0,46.54461096030986,71.0,1332152.0,20.45538903969014
Blame It,Jamie Foxx,R&B/Soul,67.0,46.54461096030986,71.0,1332152.0,20.45538903969014
***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,Pop,61.0,56.975154375655826,86.0,41847546.0,4.024845624344174
***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,Pop,61.0,56.975154375655826,86.0,41847546.0,4.024845624344174
Lego House,Ed Sheeran,Pop,50.0,49.20137802251407,90.0,124370422.0,0.7986219774859293
